 32.62  raw 135a0a00 134b9e00 1331d400 1329a200 | n=512 bytes=2048 | min=  1107548 max=  1346994 mean=1225722.8 rms=1226722.3 (14.6237% FS) zeros=  0 flat=  1
 32.84  raw 018c8600 018c1200 019da400 0196ac00 | n=512 bytes=2048 | min=   -21538 max=   122168 mean=  31940.3 rms=  45169.6 (0.5385% FS) zeros=  0 flat=  1
 33.16  raw fc8f3600 fc886200 fc8f9c00 fc9e1200 | n=512 bytes=2048 | min=  -315906 max=  -166854 mean=-233239.3 rms= 234974.5 (2.8011% FS) zeros=  0 flat=  1
 33.38  raw fbeb4c00 fbcd1600 fbbd0e00 fbadf600 | n=512 bytes=2048 | min=  -375474 max=  -218034 mean=-302664.6 rms= 304082.7 (3.6249% FS) zeros=  0 flat=  1
 33.60  raw 0303c400 0322d400 03174200 03179400 | n=512 bytes=2048 | min=   105840 max=   234498 mean= 184263.1 rms= 186588.4 (2.2243% FS) zeros=  0 flat=  1
 33.93  raw ffbe3000 ffda3a00 ffeb6e00 ffc77800 | n=512 bytes=2048 | min=   -93568 max=    47698 mean= -18373.8 rms=  37023.1 (0.4414% FS) zeros=  0 flat=  1
 34.15  raw fcdf5600 fcf0a600 fd109800 fcf53600 | n=512 bytes=2048 | min=  -248020 max=   -69792 mean=-158577.9 rms= 162006.5 (1.9313% FS) zeros=  0 flat=  1
 34.37  raw 03d75000 03e75c00 03d86400 03dc6c00 | n=512 bytes=2048 | min=    98356 max=   280650 mean= 197520.8 rms= 202031.7 (2.4084% FS) zeros=  0 flat=  1
 34.70  raw 008b1200 0094a000 006f9000 00548e00 | n=512 bytes=2048 | min=   -35814 max=   114022 mean=  23592.5 rms=  41158.6 (0.4906% FS) zeros=  0 flat=  1
 34.91  raw ffb5d800 ffe46400 fffcd000 fff05c00 | n=512 bytes=2048 | min=   -98460 max=    63352 mean= -14777.9 rms=  39902.9 (0.4757% FS) zeros=  0 flat=  1
 35.13  raw fd159000 fd058400 fcf87600 fce90800 | n=512 bytes=2048 | min=  -263396 max=  -103612 mean=-184122.0 rms= 186951.2 (2.2286% FS) zeros=  0 flat=  1
 35.35  raw 03231a00 0325d600 03248c00 03312a00 | n=512 bytes=2048 | min=    96558 max=   281678 mean= 187575.1 rms= 192322.5 (2.2927% FS) zeros=  0 flat=  1
 35.68  raw 0058f200 004c7600 00534c00 00714800 | n=512 bytes=2048 | min=   -61010 max=   138212 mean=  15582.3 rms=  44115.4 (0.5259% FS) zeros=  0 flat=  1
 35.90  raw fe011600 fe082600 fdfc0c00 fdc2f600 | n=512 bytes=2048 | min=  -241342 max=   -84058 mean=-156515.6 rms= 159891.1 (1.9061% FS) zeros=  0 flat=  1
 36.12  raw ffb4fc00 ffa52400 ff96be00 ff824600 | n=512 bytes=2048 | min=   -39776 max=   123750 mean=  48120.9 rms=  59813.8 (0.7130% FS) zeros=  0 flat=  1
 36.44  raw 020a9800 020d2400 01f34e00 01ac5e00 | n=512 bytes=2048 | min=   -59450 max=   153410 mean=  63245.9 rms=  80383.7 (0.9582% FS) zeros=  0 flat=  1
